Altium Designer Pick and Place Locations
D:\Projects\2021\SmartStepper_21\hardware\Rev1.0\Project Outputs for SmartStepper_21_r1.0\Pick Place for SmartStepper_21_r1.0.csv

========================================================================================================================
File Design Information:

Date:       27/02/21
Time:       17:23
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"U1","DRV8434PRGER","TopLayer","DRV8434PRGER","13.2560","28.0884","360","48-V, 2.5-A BIPOLAR STEPPER OR MOTOR DRIVER","13.2560","28.0884","11.3560","29.3384"
"D7","BZT52C36-7-F","BottomLayer","BZT52C36-7-F","20.3200","36.0680","270","DIODE ZENER 36V 500MW SOD123","20.3200","36.0680","20.3200","34.4305"
"U2","ATSAME51J19A-MU","TopLayer","ATSAME51J19A-MU","21.2223","11.5458","90","","21.2223","11.5458","17.4723","7.1458"
"R11","2.7K","BottomLayer","RES_0402_H","32.5120","27.3490","270","RES 0402 TKF 2.7K 5% 1/16W","32.5120","27.3490","32.5120","27.8240"
"R17","2.7K","BottomLayer","RES_0402_H","31.4960","18.5420","360","RES 0402 TKF 2.7K 5% 1/16W","31.4960","18.5420","31.0210","18.5420"
"R5","2.7K","BottomLayer","RES_0402_H","32.5120","23.3680","270","RES 0402 TKF 2.7K 5% 1/16W","32.5120","23.3680","32.5120","23.8430"
"R25","2.7K","BottomLayer","RES_0402_H","31.4960","21.8440","360","RES 0402 TKF 2.7K 5% 1/16W","31.4960","21.8440","31.0210","21.8440"
"R15","10K","TopLayer","RES_0402_H","32.8550","10.3610","180","RES 0402 TKF 10K 1% 1/16W","32.8550","10.3610","33.3299","10.3610"
"C30","0.1uF","TopLayer","CAP_0402_H","34.8550","10.3610","360","CAP CER 0.1UF 50V 10% X7R 0402","34.8550","10.3610","34.3800","10.3610"
"C1","22uF","TopLayer","CAP_1206_H","28.5786","38.8620","360","CAP CER 22UF 35V 20% X5R 1206","28.5786","38.8620","27.2786","38.8620"
"C36","1uF","TopLayer","CAP_0402_H","28.3553","29.9720","360","CAP 0402 CER 1UF 6.3V X5R 20%","28.3553","29.9720","27.8803","29.9720"
"U4","LMR36506MSCQRPERQ1","TopLayer","LMR36506MSCQRPERQ1","29.2011","32.8043","180","3-V TO 65-V, 0.6-A BUCK CONVERTER","29.2011","32.8043","30.0261","32.0663"
"R2","24.9k","BottomLayer","RES_0402_H","30.0519","29.7180","270","RES 0402 TKF 24.9k 0.1% 1/16W","30.0519","29.7180","30.0519","30.1930"
"R1","100K","BottomLayer","RES_0402_H","28.3553","29.9720","180","RES 0402 TKF 100K 1% 1/16W","28.3553","29.9720","28.8303","29.9720"
"L1","6.8uH","TopLayer","IND_1210_H","25.7962","35.5600","90","FIXED IND 6.8UH 940MA 156 MOHM","25.7962","35.5600","25.7962","34.3100"
"C10","15pF","BottomLayer","CAP_0402_H","28.3553","28.8430","360","CAP 0402 CER 15PF 50V C0G 5%","28.3553","28.8430","27.8803","28.8430"
"C34","4.7uF","TopLayer","CAP_0402_H","28.3553","28.8430","360","CAP 0402 CER 4.7UF 6.3V X5R 20%","28.3553","28.8430","27.8803","28.8430"
"C8","0.1uF","TopLayer","CAP_0402_H","26.2780","32.8632","180","CAP CER 0.1UF 50V 10% X7R 0402","26.2780","32.8632","26.7530","32.8632"
"C35","0.1uF","TopLayer","CAP_0402_H","28.0432","35.2840","270","CAP CER 0.1UF 50V 10% X7R 0402","28.0432","35.2840","28.0432","35.7590"
"C32","0.1uF","BottomLayer","CAP_0402_H","20.2518","28.3680","90","CAP CER 0.1UF 50V 10% X7R 0402","20.2518","28.3680","20.2518","27.8930"
"C37","0.1uF","TopLayer","CAP_0402_H","30.1286","35.2840","90","CAP CER 0.1UF 50V 10% X7R 0402","30.1286","35.2840","30.1286","34.8090"
"C4","22uF","TopLayer","CAP_1206_H","32.0040","36.0680","90","CAP CER 22UF 35V 20% X5R 1206","32.0040","36.0680","32.0040","34.7680"
"SW2","Tactile_Rt_angle","TopLayer","Tactile_Rt_angle","37.7871","11.9513","0","Rt Angle tactile push button","37.9418","11.9513","36.6418","13.6513"
"R7","1K","BottomLayer","RES_0402_H","31.8730","28.6770","180","RES 0402 TKF 1K 1% 1/16W","31.8730","28.6770","32.3480","28.6770"
"R4","62","BottomLayer","RES_0402_H","38.1000","23.6220","360","RES 0402 TKF 62R 5% 1/16W","38.1000","23.6220","37.6250","23.6220"
"R21","1K","TopLayer","RES_0402_H","33.7820","12.1920","360","RES 0402 TKF 1K 1% 1/16W","33.7820","12.1920","33.3070","12.1920"
"LED2","LTST-C190KGKT","TopLayer","LTST-C190KGKT","33.8690","13.7160","180","LED GREEN CLEAR 0603 SMD","33.8690","13.7160","33.1190","13.7160"
"C13","0.47uF","TopLayer","CAP_0402_H","13.4700","23.8760","270","CAP 0402 CER 470NF 6.3V X5R 10%","13.4700","23.8760","13.4700","24.3510"
"C12","0.022uF","TopLayer","CAP_0402_H","12.4460","32.0040","90","CAP 0402 CER .022UF 16V X7R 10%","12.4460","32.0040","12.4460","31.5290"
"C11","0.22uF","TopLayer","CAP_0402_H","11.5352","32.0040","270","CAP 0402 CER 220NF 16V X7R 10%","11.5352","32.0040","11.5352","32.4790"
"C6","0.1uF","BottomLayer","CAP_0402_H","36.7658","29.8459","90","CAP CER 0.1UF 50V 10% X7R 0402","36.7658","29.8459","36.7658","29.3709"
"R27","100K","BottomLayer","RES_0402_H","39.0710","29.8390","270","RES 0402 TKF 100K 1% 1/16W","39.0710","29.8390","39.0710","30.3140"
"R23","1K","BottomLayer","RES_0402_H","32.3654","16.8138","270","RES 0402 TKF 1K 1% 1/16W","32.3654","16.8138","32.3654","17.2888"
"R22","1K","BottomLayer","RES_0402_H","32.1920","20.3200","270","RES 0402 TKF 1K 1% 1/16W","32.1920","20.3200","32.1920","20.7950"
"R6","1K","BottomLayer","RES_0402_H","32.0040","24.7790","180","RES 0402 TKF 1K 1% 1/16W","32.0040","24.7790","32.4790","24.7790"
"Q1","BSS138","BottomLayer","BSS138","37.8460","26.0420","180","N-FET SOT23","37.8460","26.0420","39.0710","26.9920"
"D6","BAT54CW-115","BottomLayer","BAT54CW-115","13.5740","10.3360","270","DIODE SCHOTTKY 30V DL CC SOT323 200mA","14.2240","11.4860","12.3240","9.6860"
"D5","DESD3V3S1BL","BottomLayer","DESD3V3S1BL","31.2606","23.3680","90","3.3V TVS, Vbr 3.8Vmax 35W peak","31.2606","23.3680","31.2606","22.8930"
"D4","DESD3V3S1BL","BottomLayer","DESD3V3S1BL","30.9880","20.3200","270","3.3V TVS, Vbr 3.8Vmax 35W peak","30.9880","20.3200","30.9880","20.7950"
"D3","DESD3V3S1BL","BottomLayer","DESD3V3S1BL","31.3614","16.8138","270","3.3V TVS, Vbr 3.8Vmax 35W peak","31.3614","16.8138","31.3614","17.2888"
"D2","DESD3V3S1BL","BottomLayer","DESD3V3S1BL","31.2606","27.2461","90","3.3V TVS, Vbr 3.8Vmax 35W peak","31.2606","27.2461","31.2606","26.7711"
"C7","0.1uF","BottomLayer","CAP_0402_H","36.7658","21.6820","270","CAP CER 0.1UF 50V 10% X7R 0402","36.7658","21.6820","36.7658","22.1570"
"C9","0.1uF","TopLayer","CAP_0402_H","12.4423","22.5260","360","CAP CER 0.1UF 50V 10% X7R 0402","12.4423","22.5260","11.9673","22.5260"
"C24","4.7uF","BottomLayer","CAP_0402_H","10.7756","12.2778","90","CAP 0402 CER 4.7UF 6.3V X5R 20%","10.7756","12.2778","10.7756","11.8028"
"C33","4.7uF","BottomLayer","CAP_0402_H","9.6190","12.2420","90","CAP 0402 CER 4.7UF 6.3V X5R 20%","9.6190","12.2420","9.6190","11.7670"
"C2","22uF","BottomLayer","CAP_1206_H","12.4460","33.0200","360","CAP CER 22UF 35V 20% X5R 1206","12.4460","33.0200","11.1460","33.0200"
"J3","S4B-XH-A","TopLayer","S4B-XH-A","6.8580","27.1180","90","CONN HEADER R/A 4POS 2.5MM","6.8580","23.3680","6.8580","23.3680"
"U6","AS5047D","BottomLayer","AS5047D","21.2598","21.0660","90","","21.2598","21.0660","23.2098","18.1160"
"Y1","CM7V-T1A 32.768kHz 12.5pF 20ppm","TopLayer","FC-135-32.7680KA-A3","15.0478","5.6388","270","CRYSTAL 32.7680KHZ 12.5PF SMD","15.0478","5.6388","15.0478","6.8888"
"USB1","10118194-0001LF","TopLayer","10118194-0001LF","2.7448","13.7160","270","Connector Receptacle USB - micro B 2.0 5 Position Surface Mount, Right Angle, Horizontal","5.0800","13.7160","5.0800","15.0160"
"U5","USBLC6-2","TopLayer","USBLC6-2SC6","10.0330","16.6364","360","TVS Diode Arrays ESD Protection Low Cap","10.0330","16.6364","8.8330","17.5864"
"U3","MIC5225-3.3YM5-TR","BottomLayer","MIC5225-3.3YM5-TR","21.2598","7.7358","360","IC REG LINEAR 3.3V 150MA SOT23-5 iq=29uA","21.2598","7.7358","20.0598","6.7858"
"SW1","KMR231NG LFS","TopLayer","KMR231NG_LFS","21.1520","23.6600","360","","19.1020","22.8600","23.2020","22.8600"
"R10","1K","TopLayer","RES_0402_H","36.3220","14.9860","180","RES 0402 TKF 1K 1% 1/16W","36.3220","14.9860","36.7970","14.9860"
"R20","1K","TopLayer","RES_0402_H","25.8792","3.9223","270","RES 0402 TKF 1K 1% 1/16W","25.8792","3.9223","25.8792","4.3973"
"R19","1K","TopLayer","RES_0402_H","24.8560","3.8020","270","RES 0402 TKF 1K 1% 1/16W","24.8560","3.8020","24.8560","4.2770"
"R18","1K","TopLayer","RES_0402_H","18.6386","3.8020","270","RES 0402 TKF 1K 1% 1/16W","18.6386","3.8020","18.6386","4.2770"
"R16","1K","TopLayer","RES_0402_H","12.0065","11.0495","90","RES 0402 TKF 1K 1% 1/16W","12.0065","11.0495","12.0065","10.5745"
"R15","10K","TopLayer","RES_0402_H","15.0946","20.5740","270","RES 0402 TKF 10K 1% 1/16W","15.0946","20.5740","15.0946","21.0490"
"R14","10K","TopLayer","RES_0402_H","15.9228","22.3520","90","RES 0402 TKF 10K 1% 1/16W","15.9228","22.3520","15.9228","21.8770"
"R13","1K","BottomLayer","RES_0402_H","27.6121","6.3500","90","RES 0402 TKF 1K 1% 1/16W","27.6121","6.3500","27.6121","5.8750"
"R12","5.1K","BottomLayer","RES_0402_H","8.9323","16.6224","180","RES 0402 TKF 5.1K 5% 1/16W","8.9323","16.6224","9.4073","16.6224"
"R9","10K","BottomLayer","RES_0402_H","11.1460","16.6224","180","RES 0402 TKF 10K 1% 1/16W","11.1460","16.6224","11.6210","16.6224"
"R8","0.0","TopLayer","RES_0402_H","13.4620","15.7480","180","RES 0402 TKF 0R JMPR 1/16W","13.4620","15.7480","13.9370","15.7480"
"R24","1K","TopLayer","RES_0402_H","27.4454","23.7336","270","RES 0402 TKF 1K 1% 1/16W","27.4454","23.7336","27.4454","24.2086"
"R3","100K","TopLayer","RES_0402_H","27.4454","25.9420","90","RES 0402 TKF 100K 1% 1/16W","27.4454","25.9420","27.4454","25.4670"
