Altium Designer Pick and Place Locations
D:\Projects\2021\SmartStepper_21\hardware\Rev1.0\Project Outputs for SmartStepper_21_r1.0\Pick Place for panel.csv

========================================================================================================================
File Design Information:

Date:       24/02/21
Time:       11:38
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"Designator9","Comment","TopLayer","Panel_hole","108.8390","111.8870","180","","108.8390","111.8870","108.8390","111.8870"
"Designator6","Comment","TopLayer","Fiducial","0.0000","0.0000","180","","117.2210","103.8860","0.0000","0.0000"
"Designator8","Comment","TopLayer","Panel_hole","38.4810","27.3050","0","","38.4810","27.3050","38.4810","27.3050"
"Designator5","Comment","TopLayer","Fiducial","0.0000","0.0000","0","","27.9400","33.5280","0.0000","0.0000"
"U1","DRV8434PRGER","TopLayer","DRV8434PRGER","45.1838","56.8016","360","48-V, 2.5-A BIPOLAR STEPPER OR MOTOR DRIVER","45.1838","56.8016","43.2838","58.0516"
"D7","BZT52C36-7-F","BottomLayer","BZT52C36-7-F","52.2478","64.7812","270","DIODE ZENER 36V 500MW SOD123","52.2478","64.7812","52.2478","63.1437"
"U2","ATSAME51J19A-MU","TopLayer","ATSAME51J19A-MU","53.1501","40.2590","90","","53.1501","40.2590","49.4001","35.8590"
"R11","2.7K","BottomLayer","RES_0402_H","64.4398","56.0622","270","RES 0402 TKF 2.7K 5% 1/16W","64.4398","56.0622","64.4398","56.5372"
"R17","2.7K","BottomLayer","RES_0402_H","63.4238","47.2552","360","RES 0402 TKF 2.7K 5% 1/16W","63.4238","47.2552","62.9488","47.2552"
"R5","2.7K","BottomLayer","RES_0402_H","64.4398","52.0812","270","RES 0402 TKF 2.7K 5% 1/16W","64.4398","52.0812","64.4398","52.5562"
"R25","2.7K","BottomLayer","RES_0402_H","63.4238","50.5572","360","RES 0402 TKF 2.7K 5% 1/16W","63.4238","50.5572","62.9488","50.5572"
"R15","10K","TopLayer","RES_0402_H","64.7827","39.0742","180","RES 0402 TKF 10K 1% 1/16W","64.7827","39.0742","65.2578","39.0742"
"C30","0.1uF","TopLayer","CAP_0402_H","66.7827","39.0742","360","CAP CER 0.1UF 50V 10% X7R 0402","66.7827","39.0742","66.3078","39.0742"
"C1","22uF","TopLayer","CAP_1206_H","60.5064","67.5752","360","CAP CER 22UF 35V 20% X5R 1206","60.5064","67.5752","59.2064","67.5752"
"C36","1uF","TopLayer","CAP_0402_H","60.2831","58.6852","360","CAP 0402 CER 1UF 6.3V X5R 20%","60.2831","58.6852","59.8081","58.6852"
"U4","LMR36506MSCQRPERQ1","TopLayer","LMR36506MSCQRPERQ1","61.1289","61.5175","180","3-V TO 65-V, 0.6-A BUCK CONVERTER","61.1289","61.5175","61.9539","60.7795"
"R2","24.9k","BottomLayer","RES_0402_H","61.9797","58.4312","270","RES 0402 TKF 24.9k 0.1% 1/16W","61.9797","58.4312","61.9797","58.9062"
"R1","100K","BottomLayer","RES_0402_H","60.2831","58.6852","180","RES 0402 TKF 100K 1% 1/16W","60.2831","58.6852","60.7581","58.6852"
"L1","6.8uH","TopLayer","IND_1210_H","57.7240","64.2732","90","FIXED IND 6.8UH 940MA 156 MOHM","57.7240","64.2732","57.7240","63.0232"
"C10","15pF","BottomLayer","CAP_0402_H","60.2831","57.5562","360","CAP 0402 CER 15PF 50V C0G 5%","60.2831","57.5562","59.8081","57.5562"
"C34","4.7uF","TopLayer","CAP_0402_H","60.2831","57.5562","360","CAP 0402 CER 4.7UF 6.3V X5R 20%","60.2831","57.5562","59.8081","57.5562"
"C8","0.1uF","TopLayer","CAP_0402_H","58.2058","61.5764","180","CAP CER 0.1UF 50V 10% X7R 0402","58.2058","61.5764","58.6808","61.5764"
"C35","0.1uF","TopLayer","CAP_0402_H","59.9710","63.9972","270","CAP CER 0.1UF 50V 10% X7R 0402","59.9710","63.9972","59.9710","64.4722"
"C32","0.1uF","BottomLayer","CAP_0402_H","52.1796","57.0812","90","CAP CER 0.1UF 50V 10% X7R 0402","52.1796","57.0812","52.1796","56.6062"
"C37","0.1uF","TopLayer","CAP_0402_H","62.0564","63.9972","90","CAP CER 0.1UF 50V 10% X7R 0402","62.0564","63.9972","62.0564","63.5222"
"C4","22uF","TopLayer","CAP_1206_H","63.9318","64.7812","90","CAP CER 22UF 35V 20% X5R 1206","63.9318","64.7812","63.9318","63.4812"
"SW2","Tactile_Rt_angle","TopLayer","Tactile_Rt_angle","69.7149","40.6645","0","Rt Angle tactile push button","69.8696","40.6645","68.5696","42.3645"
"R7","1K","BottomLayer","RES_0402_H","63.8008","57.3902","180","RES 0402 TKF 1K 1% 1/16W","63.8008","57.3902","64.2758","57.3902"
"R4","62","BottomLayer","RES_0402_H","70.0278","52.3352","360","RES 0402 TKF 62R 5% 1/16W","70.0278","52.3352","69.5528","52.3352"
"R21","1K","TopLayer","RES_0402_H","65.7098","40.9052","360","RES 0402 TKF 1K 1% 1/16W","65.7098","40.9052","65.2348","40.9052"
"LED2","LTST-C190KGKT","TopLayer","LTST-C190KGKT","65.7968","42.4292","180","LED GREEN CLEAR 0603 SMD","65.7968","42.4292","65.0468","42.4292"
"C13","0.47uF","TopLayer","CAP_0402_H","45.3978","52.5892","270","CAP 0402 CER 470NF 6.3V X5R 10%","45.3978","52.5892","45.3978","53.0642"
